championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId
64,5,316628,1651770703000,295028,0,True,2,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
76,5,210466,1651690147000,188866,0,True,2,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
60,5,207134,1651666395000,185534,0,True,2,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
421,5,80536,1651752165000,58936,0,True,2,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
25,5,60355,1651671290000,38755,0,True,2,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
104,5,58161,1651606754000,36561,0,True,2,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
141,5,57563,1649145515000,35963,0,True,2,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
876,5,54618,1651759788000,33018,0,True,2,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
30,5,52500,1651234057000,30900,0,True,2,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
2,5,43526,1651156058000,21926,0,False,2,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
203,5,41519,1651594451000,19919,0,True,2,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
79,5,41114,1645370159000,19514,0,False,2,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
59,5,39863,1648560469000,18263,0,False,2,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
121,5,39579,1651828902000,17979,0,True,2,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
106,5,36322,1649779966000,14722,0,True,2,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
113,5,31841,1650387644000,10241,0,False,2,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
131,5,31263,1651831804000,9663,0,True,2,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
427,5,30993,1650629897000,9393,0,False,2,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
234,5,25168,1650811479000,3568,0,False,2,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
56,5,25143,1651765084000,3543,0,True,2,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
238,5,21975,1651599250000,375,0,True,1,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
120,5,21856,1647324207000,256,0,True,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
28,4,18387,1651154722000,5787,3213,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
154,4,15169,1646890686000,2569,6431,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
163,4,14340,1647933039000,1740,7260,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
117,4,14054,1645274453000,1454,7546,True,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
875,4,13139,1642603638000,539,8461,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
254,3,11067,1650893611000,5067,1533,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
5,3,10088,1646904382000,4088,2512,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
77,3,8849,1648014352000,2849,3751,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
517,3,8834,1641077624000,2834,3766,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
81,3,8789,1651344370000,2789,3811,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
68,3,8244,1650464783000,2244,4356,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
134,3,8178,1651355290000,2178,4422,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
48,3,8172,1651772746000,2172,4428,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
80,3,8081,1641077624000,2081,4519,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
20,3,7722,1646969525000,1722,4878,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
164,3,7628,1641077624000,1628,4972,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
887,3,7318,1650748995000,1318,5282,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
145,3,7166,1650747797000,1166,5434,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
202,3,7002,1641077624000,1002,5598,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
119,3,6384,1648218722000,384,6216,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
103,3,6104,1651239326000,104,6496,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
236,2,5689,1647869715000,3889,311,True,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
57,2,5685,1641077624000,3885,315,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
39,2,5586,1651356632000,3786,414,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
7,2,5236,1641077624000,3436,764,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
9,2,4557,1646898641000,2757,1443,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
62,2,4349,1649853476000,2549,1651,False,0,N9hJ-oCIRecZEJplZQT7yHmkZitN7Itr6bv6eBM2vBOlkFA
